mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0.7533824920654297,0.06024467213849105,0.2915632724761963,0.015959588570274005,1e-08,{'var_smoothing': 1e-08},0.9873844195709954,0.9878523565305282,0.9878710740089095,0.9845390734674778,0.9844454843238184,0.9864184815803458,0.0015826529225979992,1,0.987945831110612,0.987997304657888,0.9881751223666602,0.9841696185827995,0.9845439699021539,0.9865663693240228,0.0018095905967753583,0.9984712667639497,0.9988185693106004,0.9986337532419415,0.9988600939840878,0.9987671264742143,0.9987101619549588,0.00014169398595720073,5,0.9987320445347646,0.9986801583809943,0.9987266381510786,0.9986796875454402,0.9986918984913229,0.9987020854207203,2.2744751047760724e-05,0.9860917305272789,0.9863204849593961,0.9865260557258544,0.9822253740220525,0.9822024980555428,0.9846732286580251,0.002012713146360357,1,0.9865204138238675,0.9866347930022819,0.9868064372233469,0.9819510688673094,0.9823971451120338,0.984861971605768,0.0022010450803942316,0.9922428873952676,0.9925301842708009,0.9925429814265,0.9904728950403691,0.9904155565551364,0.9916409009376148,0.0009831244460371722,1,0.9925886712546321,0.9926209346816071,0.9927307560646551,0.9902447323573259,0.9904775084111018,0.9917325205538644,0.0011231488784700068
0.8538238048553467,0.08132544282127223,0.29376921653747556,0.024476208786928938,1e-07,{'var_smoothing': 1e-07},0.9838842511136899,0.9840901433758844,0.9833414442406319,0.9838839494618624,0.9839213851193261,0.983824234662279,0.00025314030822420447,3,0.9839636503167963,0.9840385209310161,0.983790512021413,0.98373443517405,0.9838982138762675,0.9838850664639086,0.00011092959744069317,0.9984646163867306,0.998836262073781,0.9986260537469145,0.9988591650951084,0.9987663229440655,0.99871048404932,0.00014739303270637946,4,0.9987315699440261,0.9986794648051193,0.9987313041960076,0.9986789729742312,0.9987024548623031,0.9987047533563376,2.33816101307783e-05,0.9818140226466888,0.9816996454306303,0.9809900718305349,0.9814247151942169,0.9815619709932745,0.9814980852190691,0.00028565193249064307,2,0.9816478608234157,0.9817908347964337,0.9814363655080122,0.9814192087293689,0.9815964954420158,0.9815781530598493,0.00013841686776498298,0.9900693186929793,0.9901938163359483,0.9897295051698671,0.9900651935614145,0.990089414479377,0.9900294496479173,0.00015712800333824036,3,0.9901160292221745,0.9901631401817411,0.9900083071810966,0.9899738674450669,0.9900755939213373,0.9900673875902832,6.904842258048037e-05
0.9042832374572753,0.05310515367817356,0.28789281845092773,0.01825394551404159,1e-06,{'var_smoothing': 1e-06},0.9838842511136899,0.9840714258975031,0.9833040092838693,0.983809078146935,0.983940102948058,0.9838017734780111,0.000263238515862033,4,0.983968329730185,0.9839776885569625,0.9837624355410806,0.9836548855186872,0.9838982138762675,0.9838523106446366,0.00012517297662052637,0.9984646163867306,0.9988362349874313,0.9986259897531439,0.9988590588399655,0.9987895716945996,0.9987150943323743,0.00014941656034817865,2,0.9987373810839903,0.9986851674084417,0.9987428704458153,0.9986846470372548,0.9987024548623031,0.9987105041675612,2.5080982717041684e-05,0.9818140226466888,0.9816767699874185,0.9809443198975156,0.9813332113281786,0.9815619709932745,0.9814660589706152,0.0003048071931760439,3,0.9816478608234157,0.9817107693715436,0.9813906140982969,0.9813162680575095,0.9815964954420158,0.9815324015585564,0.00015236227788414093,0.9900693186929793,0.9901821663840146,0.9897061878274517,0.9900185781378014,0.9901008376214321,0.9900154177327357,0.00016348706743076288,4,0.9901188848702995,0.9901252227881249,0.9899907118421127,0.9899242806663301,0.9900755939213373,0.9900469388176409,7.788738582822341e-05
0.8028167724609375,0.10485390332744625,0.2874976634979248,0.012498366999277708,1e-05,{'var_smoothing': 1e-05},0.9838842511136899,0.9840527084191217,0.9832104218919627,0.9837903603182031,0.983940102948058,0.9837755689382071,0.0002950591521535498,5,0.9839636503167963,0.9839355738364639,0.9837156414071931,0.983598732820784,0.9838982138762675,0.983822362451501,0.00014137334277494667,0.9984646163867306,0.9988362078998207,0.9986258297426343,0.9988590322730871,0.9987895716945996,0.9987150515993743,0.0001494261446903558,3,0.9987373737373737,0.9986909014743358,0.9987427972760607,0.9986845551642851,0.9987024548623031,0.9987116165028717,2.400433234691516e-05,0.9818140226466888,0.9816538945442068,0.9808299400649677,0.981310335361669,0.9815619709932745,0.9814340327221613,0.00034331581385628224,4,0.9816421418644949,0.9816535797823365,0.9813334248361527,0.9812476409429366,0.9815964954420158,0.9814946565735874,0.00016993648659306698,0.9900693186929793,0.9901705161632709,0.9896478897621439,0.9900069236095085,0.9901008376214321,0.9899990971698669,0.00018334369336823304,5,0.9901159722082019,0.9900989527904916,0.9899615770708574,0.9898893161369976,0.9900755939213373,0.9900282824255772,8.795841039360162e-05
0.796870756149292,0.1748318017192327,0.24999775886535644,0.07057561402671116,0.0001,{'var_smoothing': 0.0001},0.9840527084191217,0.9840901433758844,0.9832665743271066,0.983809078146935,0.9840524099204492,0.9838541828378993,0.00031038748468491375,2,0.9840572385845711,0.9840104444506836,0.9837858326080242,0.9836736030846549,0.9840058398805819,0.9839065917217031,0.00014979755150173717,0.9986737091932895,0.998975624519824,0.998742079761461,0.9989287627209427,0.9989290869302044,0.9988498526251444,0.00011913433303686603,1,0.9988536114150043,0.9988245152580247,0.9988822717826019,0.9988356455472175,0.9988361266294227,0.9988464341264542,2.019369109065006e-05,0.9818140226466888,0.9815623927713599,0.9807841881319486,0.9812645834286499,0.9815619709932745,0.9813974315943843,0.0003525761443761291,5,0.9816421418644949,0.9816135470698913,0.981281954500223,0.9811904516807924,0.9815964954420158,0.9814649181114834,0.00018953570874144984,0.9901721035389656,0.9901924585775603,0.9896816786316105,0.9900178870232532,0.9901693820095077,0.9900467019561795,0.00019292136893831128,2,0.9901730886267994,0.990144245329549,0.9900038945865248,0.9899344251890361,0.9901412756923893,0.9900793858848598,9.330577596959159e-05
0.7519712448120117,0.018223082203054398,0.271869421005249,0.007654247147373162,1e-08,{'var_smoothing': 1e-08},0.9840714258975031,0.9877962040953843,0.9850447347733313,0.9881890500701919,0.9882639213851193,0.986673067244306,0.0017612757617930718,1,0.9845906917108871,0.9879739075909444,0.9853113213727527,0.9880956280445291,0.9881424219594483,0.9868227941357123,0.0015461835005915654,0.9987665813358156,0.9987953760974819,0.9989072054686229,0.9988652416572104,0.9984498276300873,0.9987568464378436,0.00016136741489218993,4,0.9987499563938277,0.998749413787713,0.998716317865254,0.9987322867463184,0.9988363072148952,0.9987568564016017,4.162325127073225e-05,0.9817453963170536,0.9862747340729726,0.982797273184792,0.9866861874914216,0.9871894587546324,0.9849386099641745,0.002222049131961371,1,0.9823970444420298,0.9865375707006296,0.98331217330634,0.9867034965514875,0.9866577451417722,0.9851216060284518,0.0018742646328228966,0.9901828459364366,0.9924955687023781,0.9907867578381744,0.9927383623913919,0.9927877149594525,0.9917982499655666,0.0010937780642462267,1,0.9905060097851814,0.992605933666306,0.9909543857829111,0.9926814533528955,0.9927096759344504,0.9918914917043489,0.000959335167071455
0.7711794376373291,0.03208896649790325,0.27499680519104003,0.015932434940683863,1e-07,{'var_smoothing': 1e-07},0.9839778385055965,0.9843147531164601,0.9843709055516041,0.9840524099204492,0.984501637810014,0.9842435089808248,0.0001975022824434215,2,0.9844783857895574,0.9840759562381259,0.9848059447267691,0.9836829618676387,0.9843053209360655,0.9842697139116312,0.00037793525823909995,0.9987664377982078,0.9987901630953212,0.998906289996044,0.9988594040968343,0.9984425848442585,0.9987529759661331,0.00016293488933355967,5,0.9987497819387102,0.9987433531526709,0.9987155120805798,0.9987311343542463,0.9988307563435831,0.998754107573958,4.006690283907955e-05,0.981631019100995,0.9820199016355942,0.981973738390447,0.9816305988928032,0.9825913894862058,0.9819693295012091,0.0003517749155294369,2,0.9822597894279326,0.9817736779196715,0.9826945292751833,0.9813048302050807,0.9819682256459528,0.9820002104947643,0.0004659084838891341,0.9901245962159668,0.9903340407861956,0.9903676445141718,0.9901700625331703,0.990453570687389,0.9902899829473787,0.00012366651727180054,2,0.9904361540479836,0.9901858148542293,0.99064025066948,0.989941297794701,0.9903277156798284,0.9903062466092443,0.00023519652239693893
0.8156224727630615,0.043527781432937854,0.27187213897705076,0.00765416897323587,1e-06,{'var_smoothing': 1e-06},0.9839591210272152,0.9843334705948414,0.9843709055516041,0.9840524099204492,0.984501637810014,0.9842435089808248,0.00020413173674669414,2,0.9844690269627799,0.9840712768247373,0.9847919064866029,0.983664244301671,0.9842912827615897,0.9842575474674762,0.00037897403795661785,0.9987664090866772,0.9988134015821313,0.998906289996044,0.9988594040968343,0.9984425848442585,0.998757617921189,0.00016425513835082296,3,0.9987555679611085,0.9987433458416964,0.9987212870826746,0.9987369107281099,0.9988365396361859,0.998758730249955,4.044518014147552e-05,0.9816081436577834,0.9820199016355942,0.981973738390447,0.9816305988928032,0.9825913894862058,0.9819647544125667,0.00035626523417152026,3,0.9822426325511704,0.9817679589607508,0.9826716535703256,0.9812762355740087,0.9819453499410951,0.9819807661194702,0.00046664847150336316,0.9901129454654529,0.9903454639829287,0.9903676445141718,0.9901700625331703,0.990453570687389,0.9902899374366225,0.00012774472853197257,3,0.9904302771154163,0.9901829025615586,0.9906314678904371,0.9899295849812064,0.9903189246710251,0.9902986314439287,0.0002358435769208931
0.784373140335083,0.070847154976097,0.28749423027038573,0.007651482672909962,1e-05,{'var_smoothing': 1e-05},0.9839591210272152,0.9843334705948414,0.9843147531164601,0.9840524099204492,0.9844829199812821,0.9842285349280496,0.00019326701412865366,4,0.9844643475493912,0.9840712768247373,0.9847685094196591,0.983664244301671,0.984272565195622,0.9842481886582162,0.00037157539879929683,0.9987664090866772,0.9988134015821313,0.9989062136374215,0.9988594040968343,0.9984657228537555,0.9987622302513639,0.0001553876290428047,2,0.9987555607245661,0.9987433458416964,0.9987270476223691,0.9987427167794923,0.9988423165304401,0.9987621974997127,4.106946120070496e-05,0.9816081436577834,0.9820199016355942,0.9819051104909182,0.9816305988928032,0.9825456375531866,0.9819418784460572,0.0003406577253638758,4,0.9822369135922496,0.9817679589607508,0.9826373400130392,0.9812705166477942,0.981916755310023,0.9819658969047713,0.0004581340241333667,0.9901129454654529,0.9903454639829287,0.9903327026902312,0.9901700625331703,0.9904417105763798,0.9902805770496326,0.00012100017878155667,4,0.9904273661993761,0.9901829025615586,0.9906168654276892,0.9899295268810381,0.9903072215669366,0.9902927765273197,0.00023124845868126664
0.7687460899353027,0.19946151902501655,0.25624771118164064,0.08125069882359177,0.0001,{'var_smoothing': 0.0001},0.9841088608542657,0.9844832104218919,0.9840339909407405,0.9841272812353767,0.9841272812353767,0.9841761249375303,0.00015735274965922647,5,0.9845719740573322,0.9841789033326782,0.9844971034431124,0.9837812290889693,0.983935649008203,0.9841929717860591,0.0003072730930111162,0.9989524164261104,0.99899934841292,0.9989755291159282,0.9989524164261104,0.9986505979247127,0.9989060616611564,0.0001289088006559433,1,0.9988949633593114,0.9988828115908297,0.9988832599503283,0.9988938825885476,0.9989696062964624,0.998904904757096,3.275122727922748e-05,0.9816081436577834,0.9820199016355942,0.9814933430937457,0.9816305988928032,0.9819279864574278,0.9817359947474709,0.00020189004442370005,5,0.982231194633329,0.9817622400018301,0.982151231284814,0.9812647977215798,0.9813791762458681,0.9817577279774842,0.00039123331558942785,0.9902043359370494,0.9904368590446088,0.990157275884749,0.9902157609322718,0.9902186952108518,0.9902465854019062,9.766604008367945e-05,5,0.9904929973442677,0.9902485312228704,0.9904465853679636,0.9900008654761562,0.9900962678536913,0.9902570494529899,0.0001913890192080291
