mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
410.73958859443667,29.364478062788137,27.971594762802123,5.856473894232782,1000,10,"{'batch_size': 1000, 'epochs': 10}",0.9970261923824774,0.9945556445156125,0.9990163334400879,0.9983529304113099,0.9980784188131948,0.9974059039125365,0.0015627397876811864,2,0.996917481141733,0.9941209102295018,0.9988733715357604,0.9979983758249551,0.9981585057589587,0.9972137288981818,0.0016682912126700013,0.9891967953518985,0.9887203511245537,0.9904293198466877,0.9941682992391453,0.9903529678810578,0.9905735466886686,0.0019142351127083015,2,0.9900719048538617,0.9890415635401554,0.9899172523237361,0.993894521016061,0.989870804550765,0.9905592092569158,0.001705932494387608,0.9930960627050675,0.9916294133746921,0.9947042946462127,0.9962562206090491,0.994200685891374,0.9939773354452791,0.0015531292530522496,2,0.9934829008072997,0.9915747321825836,0.9943751458875371,0.9959422208778729,0.993997380260835,0.9938744760032255,0.0014130461726971516,0.9886572081009246,0.9862613708681166,0.9912963725526897,0.9938605521759476,0.9904726251754796,0.9901096257746318,0.0025506143680591835,2,0.9892981815799572,0.9861770128496692,0.9907534791438545,0.993345905298475,0.9901358427350108,0.9899420843213933,0.0023182870854320634
657.387999868393,73.05417772287181,27.152855348587035,6.332766230798815,1000,20,"{'batch_size': 1000, 'epochs': 20}",0.9995196156925541,0.9993823630332838,0.9983529304113099,0.9995653566363178,0.9986045660429154,0.9990849663632762,0.0005049357852203263,1,0.9996797383004398,0.9992565353403067,0.9985359548891101,0.9995196101979892,0.9990106257649064,0.9992004928985505,0.0004030665095837952,0.9986515210385574,0.9977162692975244,0.9990385495833715,0.998012882006304,0.9980566098129773,0.9982951663477468,0.00047985888866033716,1,0.9988343190194566,0.9978355967242699,0.998935853719935,0.9978874526104234,0.9984167990763708,0.998382004230091,0.00045949778548767307,0.9990853797960397,0.9985486211901305,0.9986956223254537,0.9987885160464478,0.9983305127384167,0.9986897304192975,0.0002511098965869904,1,0.9992568498436526,0.9985455605306848,0.9987358642741516,0.9987028645550596,0.9987136241495626,0.9987909526706222,0.00024250831980743268,0.998502601729495,0.9976228802455733,0.9978662074645304,0.998015910154422,0.9972671970051474,0.9978549593198338,0.00041104686301700853,1,0.9987833525189282,0.9976181785851326,0.997931699282178,0.9978755562626636,0.9978942738286313,0.9980206120955067,0.0003971482656354573
407.21230454444884,53.78190832945279,28.129701614379883,9.681581263311603,5000,10,"{'batch_size': 5000, 'epochs': 10}",0.9843303213999771,0.9857257234358916,0.9635357093837215,0.9663952051974196,0.9612709886992725,0.9722515896232565,0.010566791820412256,4,0.9843243335983117,0.9863030933848802,0.9625639090004461,0.9670704228574043,0.9619062324857884,0.9724335982653661,0.010684122130788787,0.9773770044973424,0.9729284262813276,0.9750902861376053,0.9742625861949679,0.9768917819365338,0.9753100170095553,0.001648744062800734,4,0.9779929427407394,0.9728116785686082,0.9748570832826536,0.9757927233907498,0.9764192291839614,0.9755747314333425,0.0017180176293054058,0.9808413398525205,0.9792852678825067,0.969278564031757,0.9703129486075224,0.9690184367397294,0.9737473114228073,0.005198480702501279,4,0.9811484240949019,0.9795109317627415,0.9686714952907965,0.9714119941519964,0.9691083986091145,0.9739702487819102,0.005300649226875805,0.9685359188410138,0.9658780369108674,0.9500243327218957,0.9516144127281235,0.9497051941974731,0.9571515790798747,0.008278414796859293,4,0.9690503598468896,0.9662380324002583,0.9490552264368138,0.9534260164808168,0.9498228850320304,0.9575185040393617,0.008445258401052352
698.3310984611511,63.85480875771157,28.47218074798584,18.999288129320306,5000,20,"{'batch_size': 5000, 'epochs': 20}",0.9948759007205764,0.9851080864691754,0.9975065196504552,0.9941208766070366,0.9860685363956627,0.9915359839685813,0.004993893459348333,3,0.9946013027788422,0.98486763469578,0.9973692939413695,0.9940866302942959,0.9869894428622082,0.9915828609144992,0.0047970076535642095,0.9875789091239384,0.9822320552881874,0.9880137762269452,0.9859113389899723,0.9874238328675493,0.9862319824993186,0.002121873581276933,3,0.9881252024113225,0.9832144835028062,0.9869220017090244,0.9870362904370639,0.9863520240496997,0.9863300004219834,0.001660059758300596,0.9912139755905781,0.9836679686607734,0.992737455605136,0.9899990887552396,0.9867457192564782,0.9888728415736411,0.003264963528219617,3,0.9913526762811377,0.9840403647916619,0.9921181453321842,0.9905489151339877,0.9866706305080483,0.988946146409404,0.0030876041414814835,0.9855688241680081,0.9732340059147232,0.9880582487927226,0.9835657463734206,0.9783247543284979,0.9817503159154745,0.005327829171834247,3,0.9858026597785702,0.9738607968105119,0.9870333454998081,0.9844784584212669,0.9781799974731286,0.9818710515966572,0.005033755136464188
220.20406141281128,63.21066743997846,51.01727104187012,39.32441755348481,1000,10,"{'batch_size': 1000, 'epochs': 10}",0.9989934804986846,0.9989477296122612,0.9977581552820607,0.9914215125589056,0.9977810312485702,0.9969803818400965,0.0028309016992305526,2,0.99896486843535,0.9987589859142042,0.998135630054101,0.9913815781948782,0.9977410241453065,0.996996417348768,0.002841130451831727,0.9880540283716827,0.9948740146717091,0.9895185806978538,0.9804981787742358,0.9931689323041192,0.9892227469639201,0.00500161406521387,2,0.9882211837653742,0.995026009469384,0.9885642109078963,0.9815469112734273,0.9928974281632909,0.9892511487158744,0.004637507012436097,0.9934936415132971,0.9969067104977799,0.9936212866776017,0.9859295910822953,0.9954696397393616,0.9930841739020672,0.003793321564795847,2,0.9935639833340445,0.9968890030539144,0.9933268641383687,0.9864397327779485,0.9953133334664502,0.9931065833541451,0.003574383298254525,0.9892936023658893,0.9949275633586643,0.9895182121064651,0.9768460458586804,0.9925690219934488,0.9886308891366296,0.006249256893731486,2,0.9894104875012868,0.994899439406276,0.9890267756034103,0.9776980201494597,0.9923117597787584,0.9886692964878382,0.005884356881417249
754.2154570102691,25.619153961709447,42.50270323753357,31.303407687251926,1000,20,"{'batch_size': 1000, 'epochs': 20}",0.9996568683518243,0.9995882420221892,0.999336596971222,0.9995882326028275,0.9994281008372604,0.9995196081570648,0.00011842885356612879,1,0.9995253264095804,0.9996397055879948,0.9995767994601333,0.9994452641572018,0.999502453419346,0.9995379098068513,6.614151478729011e-05,0.998469166266822,0.9988570644844218,0.9989481146097734,0.9988798719853698,0.9974657534246575,0.9985239941542089,0.0005550392013767925,1,0.9983662744201988,0.9988970609245258,0.9990226058129233,0.9989539509785988,0.9977336043112898,0.9985946992895073,0.0004893364506468468,0.9990626643195172,0.9992225194941804,0.9991423180284751,0.9992339267542506,0.9984459629316452,0.9990214783056137,0.00029430201319905445,1,0.9989454642100841,0.9992682452750368,0.9992996258000703,0.9991995471724002,0.9986172455760429,0.9990660256067269,0.0002566041384632888,0.9984651667727323,0.9987272114700707,0.9985961891214016,0.9987459054749649,0.9974543752924661,0.9983977696263271,0.0004824180838331511,1,0.9982732964595559,0.9988020701724831,0.9988535437197593,0.9986897703822595,0.9977351745179057,0.9984707710503928,0.00042055515802402635
369.29860363006594,27.761089059277513,55.46507353782654,7.54958427920671,5000,10,"{'batch_size': 5000, 'epochs': 10}",0.9680201303900263,0.9680201303900263,0.9800292812371323,0.9844900947065014,0.9655030425035458,0.9732125358454464,0.007576407961763846,4,0.9690146805675495,0.9687744842928794,0.9799780393233366,0.9843701746560066,0.9654691235173684,0.973521300471428,0.007308447005554831,0.9767790780878517,0.9757880415984505,0.9821412196240257,0.9724550898203593,0.9821058755090168,0.9778538609279408,0.003769099884961403,4,0.9779351502349044,0.9759634496943579,0.9810440378317723,0.9732164060114665,0.9814945088167066,0.9779307105178414,0.003114105557497689,0.972379880052391,0.9718885648009922,0.9810841138617262,0.9784355852629905,0.9737336917025229,0.9755043671361247,0.0036248407077679205,4,0.9734544796463278,0.9723556795417104,0.9805107488427185,0.978761514841351,0.9734158639916276,0.975699657372747,0.003285126945973204,0.9550031819713248,0.954179612922547,0.9690787257140718,0.9644922788956481,0.9573795039775386,0.9600266606962261,0.00580193712221753,4,0.9567575408746759,0.9549278902396795,0.9681238359959196,0.96504494555528,0.9568513310529099,0.960341108743693,0.005234889985620026
697.12058095932,55.550844332022976,27.709847354888915,20.155805910580863,5000,20,"{'batch_size': 5000, 'epochs': 20}",0.9980784627702162,0.9805101223836212,0.9969346204877156,0.9868005673239695,0.9835293041130988,0.9891706154157243,0.007100354638724769,3,0.9981985279399738,0.9809958995064538,0.9970547529995768,0.9866463072893433,0.9836152763957039,0.9893021528262104,0.007037559561046473,0.9865463754352644,0.9858549151294907,0.9825273362642317,0.9872070670084219,0.9821587664191891,0.9848588920513194,0.0021014480050713883,3,0.987200588218659,0.9860826075709235,0.9816223459660937,0.9876008220322974,0.9817288263296688,0.9848470380235284,0.002637083238254194,0.9922789142720687,0.983175254894315,0.9896785475025265,0.9870037753117493,0.982843557475797,0.9869960098912912,0.0036591304115526475,3,0.9926690970306715,0.9835326766280976,0.9892783680649142,0.9871233339150386,0.9826711460011656,0.9870549243279776,0.0036902861226884498,0.9872908321790889,0.9725414592146147,0.9829858121513869,0.9787365465605989,0.9719045390734675,0.9786918378358314,0.005937634203653857,3,0.9879364722838345,0.9731214494950913,0.9823164968039606,0.9789380588948213,0.9716148112099503,0.9787854577375317,0.0059955275367968635
269.75028171539304,72.50965762910018,42.25895466804504,16.94466394214102,1000,10,"{'batch_size': 1000, 'epochs': 10}",0.9979412101109459,0.9979869609973693,0.9980784188131948,0.9979640389806469,0.99338884567873,0.9970718949161773,0.0018421138897093527,1,0.9975923182943777,0.9979240179117793,0.9981642246851731,0.9982900410618902,0.9937720893525032,0.9971485382611448,0.0017048967238619884,0.9924697424697425,0.9952776383629146,0.9907802706876192,0.9887581877110673,0.9914609922600973,0.9917493662982884,0.002141826361757259,2,0.9922073194316462,0.9952204959733534,0.9911131049051118,0.9893223307243699,0.9907746868353983,0.9917275875739759,0.0019749137207583575,0.9951979559945707,0.9966304583718831,0.9944159544159544,0.9933397848238175,0.9924239827225669,0.9944016272657585,0.0014588091117014503,2,0.9948925321462486,0.9965704233999355,0.9946261682242991,0.993785955633488,0.9922711244985652,0.9944292407805072,0.0014077900400407191,0.9921199416014674,0.9944783438775128,0.9908284355931569,0.9890500701918578,0.9875900795507722,0.9908133741629535,0.0023932495640070885,2,0.991619170620771,0.9943800245201262,0.9911746263488409,0.989784888373116,0.9873328872313444,0.9908583194188397,0.002309211023896516
721.9506705760956,79.6486863667591,53.856721258163454,27.39339900302272,1000,20,"{'batch_size': 1000, 'epochs': 20}",0.9999313736703649,0.9873727553471349,0.9992450931051837,0.9975980235164936,0.9995424806698083,0.996737945261797,0.00474964653223643,2,0.9998913397805064,0.9869493357429213,0.9992565395921262,0.9979640622676687,0.9997083347630649,0.9967539224292576,0.004948320746603764,0.9989715931165299,0.9971123637035668,0.9989023302613826,0.9941639120027357,0.9986286968048635,0.9975557791778158,0.001825938738311419,1,0.9989772422107567,0.9973992197659298,0.9989480424442005,0.9946364346254909,0.998811530440248,0.9977544938973251,0.0016664639903659767,0.9994512529723798,0.9922186591266969,0.9990736822844597,0.9958780072848514,0.9990853797960396,0.9971413962928855,0.002781285022667372,1,0.9994340819837999,0.992146762407943,0.9991022672041627,0.9962974698901802,0.9992597313882465,0.9972480625748664,0.002799659155093564,0.999101561037697,0.9873282671358514,0.9984838842511137,0.993242863827796,0.9985025737014507,0.9953318299907817,0.004530358306090582,1,0.99907347614903,0.9872158426219689,0.9985306641959364,0.9939308292349663,0.99878803760359,0.9955077699610984,0.0045575236045726514
