mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
257.1752830028534,3.1707666783914092,3.068707990646362,0.3650251696249591,32,10,"{'batch_size': 32, 'epochs': 10}",0.9965547138815369,0.9963048288132114,0.9963053344584578,0.9965773741614566,0.9966667427684299,0.9964817988166186,0.00014907284819953032,3,0.9961743929485681,0.9965377002800642,0.9962027048600817,0.9966800339982773,0.9967746723295429,0.9964739008833068,0.0002450620219330341,0.9964811140643133,0.9962939392805001,0.996406244150788,0.996481048198409,0.9961628451099672,0.9963650381607956,0.00012212039829473118,3,0.9962424310488437,0.9964717223048919,0.9962517898756212,0.9966355175173021,0.9962003341085526,0.9963603589710421,0.0001669827641616728,0.9991535892391453,0.9991764840443783,0.9993137367036486,0.9991307132726358,0.9986503179759345,0.9990849682471484,0.00022646520880608814,3,0.9992451017396974,0.9991593130386545,0.9992279405457031,0.9992165071086253,0.9985874252250397,0.9990872575315439,0.000251569588156623,0.9978524593909209,0.9977385901594408,0.997807267992965,0.9978524103267078,0.9976575444209564,0.9977816544581982,7.474439077454411e-05,3,0.997707384619777,0.9978467847413001,0.9977130294508131,0.9979466588226559,0.9976802253495375,0.9977788165968166,0.00010192290361084398
489.184716796875,8.468711473633222,3.6627290725708006,0.18982394049051501,32,20,"{'batch_size': 32, 'epochs': 20}",0.9983090352360495,0.997511074576426,0.997853195085187,0.9984460694698355,0.9975343591616821,0.997930746705836,0.00038676137304968756,1,0.9980979906098996,0.9974028939182055,0.9977164127127305,0.9984289574561679,0.9977962501998219,0.997888500979365,0.0003492614792121461,0.9981282521618687,0.9973982705049975,0.9978100550293865,0.998315395414132,0.9976041179223211,0.9978512182065412,0.00033470072315428494,1,0.9979129816286231,0.9973233755416421,0.9976883697859636,0.9982920221054454,0.997781968432825,0.9977997434989,0.0003145814959894429,0.9994052248707508,0.9993137367036486,0.9994738648061307,0.9994967287367891,0.9995424806698083,0.9994464071574256,7.976682724635401e-05,1,0.9993537613377712,0.9993308818062759,0.9994624178614525,0.9994852966407027,0.9994967344931316,0.9994258184278667,6.94427116488439e-05,0.9988568293017513,0.9984115919505422,0.9986628724243152,0.998971122847932,0.9985374103021162,0.9986879653653314,0.00020414305578528863,1,0.9987254812308537,0.9983659570578086,0.9985886520770241,0.9989568477940903,0.9986457684549761,0.9986565413229507,0.00019188585516137407
161.16074352264405,23.194954977696497,3.464689826965332,0.3296632396895928,64,10,"{'batch_size': 64, 'epochs': 10}",0.9967374689146951,0.9952378782355086,0.9963553008595989,0.9966459032103497,0.9969416866369964,0.9963836475714297,0.000603152728420061,4,0.99637906357452,0.9953228967277368,0.9963722641541873,0.9965833708839316,0.9968959339016513,0.9963107058484054,0.0005293518977978491,0.9968367461535582,0.9954142177965785,0.9923632688204245,0.996612072999532,0.9968741226017782,0.9956200856743743,0.0017138347524457596,4,0.9964483252379481,0.9954937249066457,0.9923538385228028,0.9965512884704473,0.9967618610875841,0.9955218076450855,0.0016427303588756857,0.9994052248707508,0.9991764840443783,0.9943040146402836,0.9992222171386741,0.9992450931051837,0.9982706067598542,0.001984792730011988,4,0.9992908531494127,0.9991879078332581,0.9942753221203612,0.9992107881824108,0.9991535989202668,0.9982236940411419,0.001974702790398071,0.9980695642241133,0.9972032921246989,0.9953286008701625,0.9979323973909369,0.9980920609169532,0.9973251831053729,0.0010499630516881836,4,0.9978328341332907,0.9972516574246633,0.9953226886811356,0.9978953500658237,0.9980234896261768,0.997265203986218,0.0010067605869406443
259.7560977458954,24.485566944432467,1.5193986892700195,0.4318513289410463,64,20,"{'batch_size': 64, 'epochs': 20}",0.9969418262318278,0.9968284390900587,0.9982174280686519,0.9973282181270124,0.9959182742737265,0.9970468371582555,0.0007459004657833358,2,0.9967940124474464,0.9969252008032129,0.9982572125686401,0.9973170146936259,0.9959809823505268,0.9970548845726904,0.0007419491813741976,0.9969116160670835,0.9968928985887021,0.9978662074645304,0.9970613008890968,0.995919513336453,0.996930307269173,0.0006191157644519108,2,0.9967946018287147,0.9970098548445967,0.9978474698411807,0.9970987772750032,0.9960131584488753,0.9969527724476741,0.0005887192279907247,0.9992908450382029,0.9993823630332838,0.9991764840443783,0.9990849613396166,0.9991078373061262,0.9992084981523217,0.00011263113211171606,2,0.999296572075627,0.9994281041079282,0.9991135613672887,0.9991421610678379,0.9991593178464812,0.9992279432930327,0.00011825863911839074,0.9981149535593105,0.9981037673345365,0.9986967258094018,0.9982058168104679,0.9975105061209574,0.9981263539269349,0.00037723920178945605,2,0.9980437234938814,0.9981750834635145,0.9986852033933186,0.9982287536139139,0.9975676184929513,0.9981400764915159,0.0003586766007054401
241.02564978599548,1.1405153022316923,3.033049297332764,0.1287889202636516,32,10,"{'batch_size': 32, 'epochs': 10}",0.9945353947038867,0.9965543207904525,0.9977159041593385,0.9959419100380731,0.9975336834893811,0.9964562426362263,0.0011585715402933866,3,0.9945355813344565,0.9971235175271382,0.9974312282724724,0.9956068876707957,0.9975052521008403,0.9964404933811407,0.0011751916546688293,0.994852693445139,0.9963688091940254,0.9974918578969041,0.9961254094525035,0.9973795039775386,0.9964436547932222,0.0009604773203003687,3,0.9948713629259436,0.9969537018839318,0.9973046578880872,0.9957979064402465,0.9973608231985512,0.9964576904673521,0.0009727054948320436,0.9991993411721646,0.9990163559418964,0.9992222349308018,0.999336596971222,0.9992679690716932,0.9992084996175556,0.00010689927599337501,2,0.9992222260348397,0.9991593130386545,0.9992794111759895,0.9992736963707695,0.9992736963707695,0.9992416685982045,4.612268437070392e-05,0.9968619127497632,0.9977838195983458,0.9984685014172076,0.9976363657124587,0.9984000731395136,0.9978301345234577,0.0005847199576836334,3,0.9968733953329149,0.9981403772377603,0.9983544643724396,0.9974369220230621,0.9983886911258021,0.9978387700183958,0.0005920727827991232
471.3816358566284,15.599305553990757,3.8745558738708494,0.5463138482223189,32,20,"{'batch_size': 32, 'epochs': 20}",0.9962570750410809,0.9971470957434668,0.9971462490297247,0.9976021922813427,0.9981493328459148,0.997260388988306,0.000622824668631352,1,0.9962112134387803,0.9974375510064318,0.9969473227735427,0.9975336130855528,0.9981208805017078,0.9972501161612032,0.0006394897288126846,0.9957698498858234,0.9971923782428032,0.9969490510238461,0.9974918109499298,0.9979784744969583,0.9970763129198721,0.0007379764945925376,2,0.9956387867216966,0.9975105520771916,0.9968601136161571,0.9973467850240755,0.9979691440925023,0.9970650763063247,0.0007964243479037581,0.9985816900764057,0.9994281139197072,0.999130733157955,0.999336596971222,0.9993823489042412,0.9991718966059062,0.00031212236991707144,3,0.9984673277745371,0.9995253264095804,0.9992222215867823,0.9992279449610542,0.9993995127474865,0.999168466695888,0.0003684438010256781,0.9974180281046499,0.9982863018393694,0.99813750471337,0.9984686414335344,0.9987654603232665,0.998215187282838,0.00045024305494856617,2,0.9973379946988393,0.9984803473491772,0.9980834759063503,0.9983800601691938,0.9987597873921243,0.9982083331031368,0.0004859345687832275
171.87811160087585,27.828434317443836,4.075819969177246,0.5599891781577984,64,10,"{'batch_size': 64, 'epochs': 10}",0.9966918391093061,0.995850622406639,0.9946483876844598,0.9971475514581717,0.9968349349785556,0.9962346671274265,0.0009018268496976906,4,0.9967769170213009,0.9962086010593112,0.9946265326335683,0.9971527040752279,0.9965956568834786,0.9962720823345773,0.000877145015436205,0.996761876240033,0.9959383071912552,0.9948901284019017,0.9973420683200749,0.9927187646233037,0.9955302289553136,0.0016297426283279632,4,0.9967712047617711,0.9963032634228973,0.995007065914217,0.9971830063218579,0.9926861110981128,0.9955901303037711,0.0016256716371474934,0.9993594729377316,0.9991993594875901,0.999130733157955,0.9996111085693371,0.9942581324060942,0.9983117613117416,0.002033541524455092,4,0.9992851342231982,0.9992851301349103,0.9992965680527517,0.9994109505999154,0.9944583604982329,0.9983472287018017,0.0019450126606174248,0.9980238734365184,0.9975221804811766,0.9968845218939368,0.9983778102723451,0.9955448662887249,0.9972706504745403,0.0009983828253064253,4,0.9980294497309771,0.9977444939957859,0.9969560814184033,0.9982805502239283,0.9955258615507484,0.9973072873839687,0.000995663824994441
243.69671759605407,25.635857795388542,1.4850080966949464,0.4672008234833777,64,20,"{'batch_size': 64, 'epochs': 20}",0.9969192852741836,0.9969879518072289,0.9973054439166971,0.9968509686694201,0.9979437031621275,0.9972014705659313,0.00040244007334761314,2,0.997192213528737,0.9972612744203031,0.9972203989612168,0.9965494821371538,0.9979551270334491,0.997235699216172,0.0004452526154191968,0.9969490510238461,0.9970987908508966,0.9970239209373714,0.9968741226017782,0.9976415535797848,0.9971174877987353,0.00027252406957772553,1,0.9971221607659264,0.9974122843960281,0.9970706872186502,0.996574685427907,0.9976509454710509,0.9971661526559126,0.0003623499206576414,0.9993594729377316,0.9994738648061307,0.9990621068283198,0.999336596971222,0.999176465205655,0.9992817013498116,0.00014511040141100646,1,0.999296572075627,0.9995825159987876,0.9992050647100202,0.9992736963707695,0.9991764746251244,0.9993068647560659,0.00014460603326945181,0.998137887702062,0.9982293606278343,0.9981830025026568,0.9980922352833659,0.9985597037104775,0.9982404379652794,0.00016603177240563156,1,0.9982432837739406,0.9984205460397977,0.998211745347967,0.9979097300353518,0.9985654273711886,0.9982701465136492,0.00022083620312842787
249.75496320724488,3.421936252229319,3.299623966217041,0.3430464501127525,32,10,"{'batch_size': 32, 'epochs': 10}",0.9966687962033404,0.9968562839899952,0.9966913861950941,0.9976704882839263,0.9964416058394161,0.9968657121023543,0.0004235056333080587,2,0.9971180404958112,0.9965326333646638,0.9970042966944553,0.997390897257302,0.9966628826989008,0.9969417501022267,0.00031044068018662896,0.9966682888481264,0.9923258338636619,0.9966308538913637,0.9975292466073935,0.9965184838558727,0.9959345414132835,0.0018401130387203477,3,0.9970051754312079,0.9925924886056284,0.9969303048169882,0.9971174948409709,0.9965980823853666,0.9960487092160324,0.0017367563400452854,0.9992679690716932,0.9937550040032026,0.9991993594875901,0.9993137210047125,0.9993137210047125,0.9981699549143823,0.0022078723763796337,3,0.9992279449610542,0.9944068581755378,0.9992508163813859,0.9990906907319081,0.9991879124775532,0.9982328445454879,0.0019137773137542049,0.9979666902743827,0.9953032281714667,0.997943797121316,0.9984914285714286,0.9978755967745621,0.9975161481826312,0.0011281189559638062,3,0.9981718777671773,0.9954686108988068,0.9981262924583271,0.998240070397184,0.9979238003307069,0.9975861303704404,0.0010639945833852227
479.7387845993042,2.5535449126389764,3.3447882652282717,0.5204825566251823,32,20,"{'batch_size': 32, 'epochs': 20}",0.9969188634029442,0.9957145136656865,0.9980122009733361,0.9981025535514254,0.9971927422115714,0.9971881747609928,0.000867102561871417,1,0.9971523141014667,0.9953634877508358,0.9982232937049753,0.9977029884006628,0.9973287518764377,0.9971541671668757,0.0009676003644912135,0.9968367461535582,0.9958447197993486,0.9977164676374799,0.9974356574637342,0.9972859148338793,0.9970239011776002,0.0006547271832507518,1,0.9970706872186502,0.9956855808555839,0.9979597757625104,0.9969490367472614,0.9972157620623014,0.9969761685292614,0.0007348706974782591,0.9992222171386741,0.9992222349308018,0.9991993594875901,0.9987646978084824,0.9994967287367891,0.9991810476204674,0.00023525661792242556,1,0.9992736963707695,0.9993823524365625,0.9992851301349103,0.9985702684463965,0.9992736963707695,0.9991570287518817,0.00029620636384078755,0.9980692113470964,0.9974652904640117,0.9986054274022085,0.9984335158992419,0.9983434061853785,0.9981833702595875,0.0003987448859445536,1,0.9982118781563494,0.9973688716397465,0.9987539296941983,0.9981364400288109,0.998300276812062,0.9981542792662333,0.0004475258494041698
